epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,5542.89,0.83301,0.61862,1.11916,0.82057,0.79286,0.84196,0.68246,0.82495,0.59481,1.15055,0.0089209,0.0089209,0.0089209
111,5592.26,0.8334,0.61333,1.11781,0.83095,0.77111,0.8427,0.68337,0.82178,0.59257,1.15067,0.008911,0.008911,0.008911
112,5642.1,0.83116,0.61424,1.11391,0.8254,0.7726,0.83967,0.68316,0.82253,0.59119,1.15053,0.0089011,0.0089011,0.0089011
113,5691.82,0.82313,0.60997,1.11066,0.81825,0.76971,0.84155,0.68431,0.82568,0.59334,1.15364,0.0088912,0.0088912,0.0088912
114,5741.65,0.82981,0.61675,1.11755,0.84791,0.74861,0.84329,0.68043,0.82542,0.5981,1.1528,0.0088813,0.0088813,0.0088813
115,5791.61,0.82683,0.61175,1.10915,0.82192,0.77869,0.84667,0.68603,0.82174,0.59235,1.14765,0.0088714,0.0088714,0.0088714
116,5841.55,0.82905,0.61563,1.11762,0.8348,0.77141,0.84606,0.68369,0.82538,0.59237,1.15241,0.0088615,0.0088615,0.0088615
117,5891.52,0.82841,0.60689,1.11216,0.81582,0.77992,0.84372,0.68418,0.82953,0.59118,1.15451,0.0088516,0.0088516,0.0088516
118,5941.86,0.83166,0.6151,1.11616,0.83446,0.76818,0.8415,0.68158,0.82439,0.58618,1.15173,0.0088417,0.0088417,0.0088417
119,5992.39,0.81906,0.60781,1.11459,0.82254,0.78154,0.84372,0.68711,0.82367,0.58683,1.15114,0.0088318,0.0088318,0.0088318
120,6042.04,0.82436,0.60561,1.10834,0.8312,0.77678,0.84249,0.68579,0.82025,0.58614,1.14988,0.0088219,0.0088219,0.0088219
121,6092.16,0.81922,0.61146,1.11302,0.83082,0.77991,0.84441,0.6842,0.82288,0.58401,1.15171,0.008812,0.008812,0.008812
122,6142.46,0.81376,0.60583,1.10771,0.83699,0.77615,0.84443,0.68612,0.81995,0.58377,1.15006,0.0088021,0.0088021,0.0088021
123,6192.42,0.82547,0.60464,1.11181,0.84142,0.7618,0.84868,0.6915,0.81945,0.57901,1.14768,0.0087922,0.0087922,0.0087922
124,6241.9,0.82742,0.60538,1.11622,0.8438,0.7705,0.84615,0.69045,0.81997,0.58505,1.14915,0.0087823,0.0087823,0.0087823
