epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1968.74,1.19246,0.89565,0.92477,0.79217,0.7521,0.82016,0.5495,1.14643,0.76407,0.94142,0.0082774,0.0082774,0.0082774
89,1990.76,1.16288,0.87149,0.91779,0.84107,0.70561,0.82325,0.54647,1.13547,0.76095,0.94323,0.0082576,0.0082576,0.0082576
90,2012.52,1.14483,0.85778,0.91688,0.79925,0.78105,0.82786,0.55637,1.11358,0.74148,0.94311,0.0082378,0.0082378,0.0082378
91,2034.05,1.16902,0.90289,0.91965,0.78443,0.74316,0.80843,0.53174,1.19322,0.78097,0.95254,0.008218,0.008218,0.008218
92,2055.86,1.144,0.86977,0.91612,0.7582,0.79037,0.83123,0.54103,1.14829,0.74659,0.95202,0.0081982,0.0081982,0.0081982
93,2077.79,1.15836,0.8623,0.91821,0.82191,0.74211,0.84394,0.55858,1.14013,0.70708,0.94301,0.0081784,0.0081784,0.0081784
94,2099.52,1.12846,0.82286,0.90523,0.81733,0.68718,0.79452,0.53121,1.17917,0.8186,0.9589,0.0081586,0.0081586,0.0081586
95,2121.35,1.18376,0.90605,0.9254,0.78447,0.75788,0.82152,0.54386,1.17694,0.79683,0.95405,0.0081388,0.0081388,0.0081388
96,2142.98,1.14892,0.88497,0.91965,0.76464,0.77982,0.82248,0.5482,1.13285,0.75669,0.93876,0.008119,0.008119,0.008119
97,2165.53,1.12571,0.83516,0.90247,0.83769,0.77201,0.84364,0.54842,1.14039,0.71323,0.94417,0.0080992,0.0080992,0.0080992
98,2187.29,1.17157,0.86863,0.91533,0.80976,0.75642,0.8067,0.53393,1.16881,0.76097,0.96216,0.0080794,0.0080794,0.0080794
99,2209,1.13136,0.86154,0.91184,0.8081,0.77612,0.85285,0.56531,1.1795,0.70302,0.95012,0.0080596,0.0080596,0.0080596
100,2230.91,1.16668,0.848,0.92655,0.82986,0.76502,0.8344,0.54779,1.18384,0.74187,0.95006,0.0080398,0.0080398,0.0080398
101,2252.83,1.13977,0.83797,0.9169,0.82884,0.72211,0.82521,0.55396,1.13529,0.73002,0.94501,0.00802,0.00802,0.00802
102,2274.53,1.10111,0.80595,0.8975,0.79322,0.70382,0.78754,0.537,1.15018,0.79784,0.94884,0.0080002,0.0080002,0.0080002
103,2296.66,1.11581,0.83371,0.906,0.84281,0.71579,0.82786,0.55912,1.11123,0.74705,0.93991,0.0079804,0.0079804,0.0079804
104,2318.05,1.13069,0.82696,0.90164,0.86905,0.72777,0.82653,0.55119,1.15141,0.70591,0.9535,0.0079606,0.0079606,0.0079606
105,2339.93,1.13206,0.82024,0.91024,0.8498,0.76706,0.85334,0.58059,1.11341,0.69089,0.93763,0.0079408,0.0079408,0.0079408
106,2361.84,1.0692,0.80094,0.89198,0.8074,0.76744,0.85448,0.56736,1.14691,0.68017,0.93892,0.007921,0.007921,0.007921
107,2383.74,1.12377,0.80237,0.90419,0.829,0.78769,0.85301,0.56809,1.17104,0.71038,0.94818,0.0079012,0.0079012,0.0079012
108,2405.66,1.09516,0.7915,0.88375,0.80042,0.77732,0.84598,0.56142,1.15622,0.70537,0.94268,0.0078814,0.0078814,0.0078814
109,2426.87,1.11051,0.81319,0.90161,0.84253,0.76686,0.85598,0.56341,1.14533,0.70074,0.94061,0.0078616,0.0078616,0.0078616
110,2448.94,1.1206,0.80022,0.89701,0.86359,0.74961,0.84562,0.56986,1.11676,0.67388,0.93754,0.0078418,0.0078418,0.0078418
111,2470.38,1.08871,0.80242,0.89673,0.86734,0.76603,0.86174,0.58296,1.09629,0.68531,0.93257,0.007822,0.007822,0.007822
112,2491.67,1.10083,0.78132,0.90406,0.89265,0.70579,0.83132,0.55816,1.1218,0.73761,0.93459,0.0078022,0.0078022,0.0078022
113,2513.4,1.09848,0.79154,0.8971,0.84046,0.7477,0.84244,0.57279,1.10786,0.70443,0.92938,0.0077824,0.0077824,0.0077824
114,2535.41,1.0618,0.76835,0.89838,0.87994,0.76552,0.87064,0.58472,1.14125,0.65506,0.93601,0.0077626,0.0077626,0.0077626
115,2557.24,1.09611,0.80593,0.89264,0.88152,0.74861,0.8614,0.57487,1.12931,0.6778,0.93554,0.0077428,0.0077428,0.0077428
116,2578.77,1.08375,0.77917,0.88712,0.87068,0.74385,0.82684,0.55579,1.14433,0.72375,0.93859,0.007723,0.007723,0.007723
117,2600.69,1.1121,0.78112,0.90155,0.81428,0.79418,0.85907,0.57878,1.14845,0.70528,0.94191,0.0077032,0.0077032,0.0077032
118,2622.57,1.07702,0.76335,0.89451,0.76744,0.79707,0.84534,0.56006,1.16656,0.70409,0.94123,0.0076834,0.0076834,0.0076834
119,2644.12,1.08582,0.75773,0.89236,0.85222,0.74167,0.84459,0.56867,1.13293,0.66377,0.94299,0.0076636,0.0076636,0.0076636
120,2666.01,1.10273,0.79733,0.89628,0.89767,0.73712,0.84114,0.55286,1.16438,0.73412,0.94986,0.0076438,0.0076438,0.0076438
121,2687.78,1.07039,0.7762,0.8982,0.86071,0.76018,0.86223,0.58046,1.11763,0.66992,0.93202,0.007624,0.007624,0.007624
122,2709.44,1.07783,0.76273,0.89639,0.82014,0.81402,0.87125,0.57507,1.14812,0.67743,0.94591,0.0076042,0.0076042,0.0076042
123,2731.15,1.06108,0.75245,0.8864,0.87973,0.75634,0.85492,0.56442,1.14011,0.68734,0.93989,0.0075844,0.0075844,0.0075844
